1619623447942[31]: [0x8184010, [b'\xff']]
[31]: [0x8184010, [b'\x01']]
[111]: [0x8184010, [b'\xff']]
[201]: [0x8184010, [b'\xff']]
[293]: [0x8184010, [b'\x01']]
[343]: [0x1058c010, [b'\x00\x00\x00\x00\x07\x00']]
[425]: [0x8184010, [b'\x01']]
[425]: [0x1058c010, [b'\x00\x00\x00\x00\x10\x00']]
[488]: [0x8184010, [b'\x01']]
[529]: [0x8184010, [b'\xff']]
[554]: [0x1058c010, [b'\x00\x00\x00\x00\x0b\x00']]
[594]: [0x8184010, [b'\xff']]
[631]: [0x8184010, [b'\x01']]
[770]: [0x8184010, [b'\x01']]
[827]: [0x8184010, [b'\xff']]
[827]: [0x1058c010, [b'\x00\x00\x00\x00\x04\x00']]
[827]: [0x8184010, [b'\x01']]
[895]: [0x8184010, [b'\x01']]
[935]: [0x1058c010, [b'\x00\x00\x00\x00\x07\x00']]
[965]: [0x8184010, [b'\xff']]
[1009]: [0x8184010, [b'\x01']]
[1009]: [0x1058c010, [b'\x00\x00\x00\x00\x07\x00']]
[1040]: [0x8184010, [b'\xff']]
[1151]: [0x8184010, [b'\x01']]
[1196]: [0x8184010, [b'\xff']]
[1253]: [0x1058c010, [b'\x00\x00\x00\x00\x04\x00']]
[1253]: [0x8184010, [b'\x01']]
[1309]: [0x8184010, [b'\x01']]
[1352]: [0x8184010, [b'\xff']]
[1416]: [0x8184010, [b'\x01']]
[1468]: [0x8184010, [b'\xff']]
[1529]: [0x8184010, [b'\x01']]
[1529]: [0x8184010, [b'\xff']]
[1529]: [0x1058c010, [b'\x00\x00\x00\x00\t\x00']]
[1604]: [0x8184010, [b'\xff']]
[1639]: [0x1058c010, [b'\x00\x00\x00\x00\x04\x00']]
[1639]: [0x8184010, [b'\xff']]
[1709]: [0x8184010, [b'\x01']]
[1769]: [0x1058c010, [b'\x00\x00\x00\x00\x04\x00']]
[1836]: [0x8184010, [b'\x01']]
[1836]: [0x8184010, [b'\xff']]
[1871]: [0x8184010, [b'\xff']]
[1901]: [0x8184010, [b'\x01']]
[1959]: [0x8184010, [b'\xff']]
[1959]: [0x1058c010, [b'\x00\x00\x00\x00\x07\x00']]
[1991]: [0x8184010, [b'\x01']]
[2055]: [0x1058c010, [b'\x00\x00\x00\x00\x07\x00']]
[2055]: [0x8184010, [b'\x01']]
[2098]: [0x8184010, [b'\xff']]
[2155]: [0x8184010, [b'\x01']]
[2195]: [0x1058c010, [b'\x00\x00\x00\x00\x04\x00']]
[2240]: [0x8184010, [b'\xff']]
[2281]: [0x8184010, [b'\x01']]
[2281]: [0x1058c010, [b'\x00\x00\x00\x00\x02\x00']]
[2377]: [0x8184010, [b'\x01']]
[2425]: [0x1058c010, [b'\x00\x00\x00\x00\x04\x00']]
[2470]: [0x8184010, [b'\xff']]
[2587]: [0x8184010, [b'\x01']]
[2617]: [0x8184010, [b'\xff']]
[2655]: [0x1058c010, [b'\x00\x00\x00\x00\x00\x00']]
[2655]: [0x8184010, [b'\x01']]
[2683]: [0x8184010, [b'\xff']]
[2767]: [0x8184010, [b'\x01']]
[2815]: [0x8184010, [b'\x01']]
[2869]: [0x8184010, [b'\x01']]
[2911]: [0x1058c010, [b'\x00\x00\x00\x00\x02\x00']]
[2950]: [0x8184010, [b'\xff']]
[3006]: [0x8184010, [b'\xff']]
[3054]: [0x8184010, [b'\x01']]
[3116]: [0x8184010, [b'\x01']]
[3116]: [0x1058c010, [b'\x00\x00\x00\x00\x00\x00']]
[3140]: [0x8184010, [b'\xff']]
[3185]: [0x8184010, [b'\x01']]
[3240]: [0x8184010, [b'\xff']]
[3240]: [0x1058c010, [b'\x00\x00\x00\x00\x00\x00']]
[3307]: [0x8184010, [b'\xff']]
[3331]: [0x8184010, [b'\x01']]
[3368]: [0x8184010, [b'\xff']]
[3368]: [0x1058c010, [b'\x00\x00\x00\x00\x00\x00']]
[3400]: [0x8184010, [b'\x01']]
[3492]: [0x1058c010, [b'\x00\x00\x00\x00\x02\x00']]
[3492]: [0x8184010, [b'\x01']]
[3540]: [0x8184010, [b'\x01']]
